CODE,LABEL,YEAR,0-14 years,15-24 years,25-34 years,35-44 years,45-54 years,55-64 years,65-74 years,75-84 years,85 years and over,Total,Working Age Population (15-64 years),Males,Females,Persons,Births,Total Fertility Rate (per female),Deaths,"Standardised Death Rate (per 1,000 population)",Population density,Proportion of total population,"Born in Oceania, Antarctica (exc. Australia)",Born in North-West Europe,Born in Southern & Eastern Europe,"Born in North Africa, Middle East",Born in South-East Asia,Born in North-East Asia,"Born in Southern, Central Asia",Born in Americas,Born in Sub-Saharan Africa,Total Born Overseas,Buddhism ,Christianity ,Hinduism ,Islam,Judaism ,Other Religions ,"Secular Beliefs, Other Spiritual Beliefs and No Religious Affiliation",Inadequately described or not stated ,Australian citizen,Not an Australian citizen,Australian Citizenship - Not stated,Proportion of total population
10800,Bland (A),2016,21.1,10.5,10.5,11.7,11.8,14.1,10.2,7,3.3,"6,024",58.5,41.7,41.9,41.8,63,2.4,66,5.6,0.7,4.3,0.9,1.6,0.1,0.1,0.5,0.3,0.4,0.3,0.6,4.8,0.4,72.3,0.3,0.1,-,0.1,14.1,12.8,86.4,2.2,11.5,2.2
10800,Bland (A),2017,20.6,10.8,10,11.6,11.7,14.2,10.8,6.9,3.5,"5,985",58.3,42.3,42.7,42.5,-,-,62,6,0.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10850,Blayney (A),2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.9,1.2,3.4,0.3,0.1,0.3,0.2,0.1,0.2,0.2,5.9,-,-,-,-,-,-,-,-,91.9,2.3,5.8,1.7
10850,Blayney (A),2012,22.1,11.6,9.5,12.9,14.1,12.9,9.3,5.9,1.5,"7,274",61.1,41.1,40.4,40.7,103,2.6,63,6.7,4.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10850,Blayney (A),2013,21.9,11.4,9.7,12.7,14.2,12.9,9.6,5.9,1.6,"7,303",60.9,41.5,40.8,41.1,87,2.4,55,6.6,4.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10850,Blayney (A),2014,21.6,11.4,9.9,12.6,13.9,13.2,9.6,5.9,1.8,"7,322",61,41.6,41,41.3,81,2.4,49,6.2,4.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10850,Blayney (A),2015,21.6,11,10.1,12.4,14,13.1,9.9,5.9,2,"7,322",60.6,41.7,41.3,41.5,73,2.1,59,5.8,4.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10850,Blayney (A),2016,21.5,11,10.2,11.9,13.9,13.6,10.1,5.7,2.1,"7,343",60.7,41.6,41.4,41.5,82,2,51,5.5,4.8,3.7,1.2,3.5,0.3,-,0.4,0.2,0.1,0.2,0.2,6.2,0.4,69.7,0.1,0.1,-,0.2,20.9,8.5,91.2,2.2,6.7,1.6
10850,Blayney (A),2017,21,11.2,10.1,11.5,14,13.9,10.4,5.5,2.4,"7,344",60.7,42,42.1,42.1,-,-,75,6.1,4.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10900,Blue Mountains (C),2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.7,1.8,9.5,1.4,0.3,0.9,0.6,0.4,1.2,0.5,16.5,-,-,-,-,-,-,-,-,89.8,4.7,5.5,5.1
